batch_id,production_line,shift,operator_experience_years,material_grade,temperature_c,humidity_pct,speed_rpm,batch_size_units,defect_count,defect_rate,downtime_minutes,energy_kwh,maintenance_days_ago,quality_score,passed_inspection,product_type,order_priority,supplier_id,tool_wear_pct,vibration_mm_s,pressure_bar,cycle_time_sec,scrap_cost_usd,shift_supervisor,weekday,production_date,is_weekend,target_met,rework_units,oee_pct
BATCH-5121,Line_B,evening,13,A,20.0,62.2,945,249,6,0.0241,28.0,246.6,14,85.5,True,housing,normal,SUP-04,47.0,0.559,4.93,16.8,139.08,Ivanov,4,2024-05-02,False,True,2,80.1
BATCH-5122,Line_B,evening,13,A,21.54,70.9,1019,282,10,0.0355,25.3,276.4,4,71.1,True,bracket,normal,SUP-03,40.5,0.821,4.58,17.7,74.09,Ivanov,4,2024-05-03,False,True,3,78.9
BATCH-5123,Line_C,evening,14,B,19.53,62.2,925,389,13,0.0334,38.9,356.1,32,77.8,True,widget,high,SUP-03,59.4,0.937,5.07,26.6,72.28,Petrov,4,2024-05-04,True,True,7,85.3
BATCH-5124,Line_C,day,4,B,18.25,72.8,814,362,19,0.0525,67.8,328.4,88,70.0,False,widget,low,SUP-02,71.4,0.788,4.03,23.8,227.19,Petrov,6,2024-05-05,False,False,11,82.4
BATCH-5125,Line_A,night,14,A,25.0,62.6,910,110,4,0.0364,34.8,133.9,35,82.2,True,housing,low,SUP-02,19.7,0.535,4.38,8.2,65.23,Ivanov,1,2024-05-06,False,True,2,82.6
BATCH-5126,Line_A,day,12,A,22.56,60.6,1266,352,2,0.0057,15.0,345.1,89,92.4,True,gear,normal,SUP-01,73.8,0.956,5.08,14.6,24.06,Petrov,6,2024-05-07,False,True,0,92.5
BATCH-5127,Line_B,evening,17,A,24.06,72.9,1241,466,15,0.0322,33.2,429.6,44,81.3,True,bracket,normal,SUP-01,41.4,0.694,3.75,21.4,357.62,Petrov,1,2024-05-08,False,True,6,85.6
BATCH-5128,Line_B,day,3,C,23.64,52.3,1455,387,19,0.0491,41.8,386.4,68,69.3,True,widget,urgent,SUP-02,20.7,0.964,4.72,20.3,191.79,Ivanov,0,2024-05-09,False,False,15,76.8
BATCH-5129,Line_B,evening,12,A,22.73,90.0,1359,266,16,0.0602,50.6,275.9,70,70.8,False,bracket,normal,SUP-02,67.7,1.022,4.71,11.2,169.99,Ivanov,5,2024-05-10,False,False,12,82.6
BATCH-5130,Line_A,day,16,C,23.67,65.9,1197,285,10,0.0351,29.0,286.8,3,84.6,True,widget,low,SUP-01,2.8,0.961,5.29,12.8,176.97,Sidorov,6,2024-05-11,False,True,3,84.9
BATCH-5131,Line_B,day,5,C,21.87,65.4,896,166,7,0.0422,23.1,176.1,1,80.9,True,widget,normal,SUP-04,44.8,1.277,3.87,13.4,35.54,Kozlov,0,2024-05-12,False,False,4,77.0
BATCH-5132,Line_B,evening,14,A,23.24,67.2,1195,347,6,0.0173,12.7,339.1,83,91.4,True,bracket,normal,SUP-02,57.7,0.789,5.14,15.5,117.31,Kozlov,4,2024-05-13,True,True,3,92.8
BATCH-5133,Line_B,day,1,B,19.82,79.7,843,158,8,0.0506,19.6,158.0,83,67.0,False,gear,low,SUP-03,22.4,0.702,4.28,10.3,100.4,Sidorov,3,2024-05-14,False,False,5,75.5
BATCH-5134,Line_B,day,14,B,23.11,69.9,1102,203,5,0.0246,23.4,221.9,12,84.6,True,housing,normal,SUP-02,69.1,0.469,4.32,13.6,122.77,Ivanov,1,2024-05-15,False,True,2,90.4
BATCH-5135,Line_B,evening,12,B,24.01,46.2,1073,169,3,0.0178,9.5,185.5,58,89.1,True,gear,low,SUP-02,19.2,0.598,4.01,9.5,56.49,Kozlov,3,2024-05-16,True,True,2,85.4
BATCH-5136,Line_B,night,3,A,21.99,75.6,1099,200,12,0.06,26.0,221.1,83,68.0,False,bracket,high,SUP-04,67.2,1.046,4.06,7.8,72.53,Kozlov,4,2024-05-17,False,False,4,78.7
BATCH-5137,Line_C,day,1,B,22.16,58.2,996,215,6,0.0279,16.8,219.4,85,86.4,True,bracket,high,SUP-03,6.3,0.435,4.66,14.0,41.12,Petrov,4,2024-05-18,False,True,2,80.7
BATCH-5138,Line_B,night,14,B,22.13,62.7,1280,87,3,0.0345,20.0,133.4,27,89.9,True,bracket,normal,SUP-04,12.8,1.009,4.06,3.3,20.29,Petrov,3,2024-05-19,False,True,2,86.4
BATCH-5139,Line_B,evening,4,B,20.42,48.3,1389,372,10,0.0269,34.4,376.6,73,90.6,True,widget,urgent,SUP-02,30.5,0.552,4.8,19.2,240.52,Ivanov,6,2024-05-20,False,True,3,82.0
BATCH-5140,Line_B,night,9,C,20.63,66.4,1338,248,16,0.0645,41.5,263.9,58,62.8,False,bracket,urgent,SUP-02,68.3,1.444,4.23,9.9,298.9,Kozlov,1,2024-05-21,False,False,5,75.1
BATCH-5141,Line_A,evening,1,A,25.8,56.2,1239,477,17,0.0356,41.7,449.8,83,85.6,True,bracket,low,SUP-02,11.6,1.22,4.01,25.2,230.39,Kozlov,4,2024-05-22,False,True,11,78.4
BATCH-5142,Line_A,evening,19,B,25.2,63.6,1177,131,5,0.0382,34.7,163.8,14,84.1,True,bracket,normal,SUP-03,70.0,0.832,4.29,10.2,45.05,Ivanov,2,2024-05-23,False,True,3,85.5
BATCH-5143,Line_B,evening,10,C,23.61,59.2,822,351,13,0.037,48.4,324.0,54,77.5,True,widget,normal,SUP-02,18.4,0.958,4.63,23.9,292.15,Sidorov,6,2024-05-24,False,True,8,85.5
BATCH-5144,Line_C,evening,18,A,27.92,82.6,1306,130,8,0.0615,22.4,169.7,3,73.5,False,housing,low,SUP-02,36.2,0.869,4.39,5.6,72.25,Petrov,1,2024-05-25,False,False,5,81.1
BATCH-5145,Line_B,night,3,A,23.43,81.9,1181,296,16,0.0541,57.9,300.1,32,72.1,False,gear,normal,SUP-01,28.2,1.166,4.51,15.8,306.14,Sidorov,6,2024-05-26,False,False,10,71.2
BATCH-5146,Line_A,day,4,A,31.1,64.8,990,270,21,0.0778,70.7,262.0,2,54.1,False,gear,normal,SUP-03,9.5,1.178,4.78,14.7,425.6,Ivanov,4,2024-05-27,False,False,7,66.4
BATCH-5147,Line_B,day,12,C,21.32,62.0,1029,251,11,0.0438,35.0,247.4,40,80.4,True,widget,urgent,SUP-03,75.5,0.721,4.93,15.2,119.82,Kozlov,1,2024-05-28,False,False,6,77.1
BATCH-5148,Line_A,day,12,A,22.77,58.1,1455,344,4,0.0116,14.3,344.8,73,95.3,True,widget,normal,SUP-03,35.1,0.558,4.38,13.7,60.39,Petrov,5,2024-05-29,True,True,2,90.5
BATCH-5149,Line_B,night,15,B,22.81,72.9,1237,422,19,0.045,47.2,400.0,59,76.4,True,gear,high,SUP-04,55.2,0.857,4.08,20.0,179.74,Kozlov,1,2024-05-30,False,False,13,80.0
BATCH-5150,Line_C,day,18,A,23.12,58.6,1133,192,4,0.0208,11.7,209.2,29,89.4,True,gear,normal,SUP-04,46.0,0.643,4.53,10.3,50.31,Ivanov,1,2024-05-31,False,True,1,90.7
BATCH-5151,Line_B,evening,16,A,24.51,58.1,1235,432,7,0.0162,35.6,410.9,38,88.3,True,housing,low,SUP-04,40.1,0.852,4.69,21.1,170.12,Sidorov,2,2024-06-01,False,True,2,90.2
BATCH-5152,Line_B,night,2,B,23.66,71.9,1090,133,8,0.0602,23.6,167.4,33,73.0,False,bracket,high,SUP-01,49.3,0.945,3.92,7.7,150.9,Petrov,4,2024-06-02,False,False,5,73.8
BATCH-5153,Line_A,night,6,A,29.33,58.4,1129,181,12,0.0663,41.7,196.4,66,66.6,False,housing,low,SUP-04,71.9,1.51,4.14,8.4,263.19,Kozlov,2,2024-06-03,False,False,5,76.1
BATCH-5154,Line_B,day,18,C,22.72,61.4,1003,189,6,0.0317,29.6,197.7,24,85.0,True,housing,low,SUP-02,55.9,0.552,4.21,10.2,94.87,Sidorov,3,2024-06-04,False,True,1,88.1
BATCH-5155,Line_C,evening,10,A,22.81,46.0,1108,479,12,0.0251,24.7,431.4,9,89.2,True,gear,normal,SUP-02,42.6,1.074,4.42,25.7,117.37,Sidorov,3,2024-06-05,False,True,8,76.9
BATCH-5156,Line_B,night,17,C,21.27,68.4,1280,103,6,0.0583,35.9,156.5,46,65.1,False,housing,normal,SUP-02,51.6,0.88,4.2,4.7,115.55,Ivanov,1,2024-06-06,False,False,3,80.9
BATCH-5157,Line_B,day,11,A,23.26,81.4,828,227,9,0.0396,20.3,224.5,74,75.7,True,widget,normal,SUP-02,48.5,0.896,4.78,15.6,135.1,Sidorov,1,2024-06-07,False,True,4,83.9
BATCH-5158,Line_A,evening,0,C,21.6,68.7,1357,240,13,0.0542,29.9,262.2,43,61.9,False,housing,low,SUP-04,34.6,0.944,3.86,11.3,110.98,Ivanov,2,2024-06-08,False,False,3,79.1
BATCH-5159,Line_A,day,9,B,20.18,75.7,998,410,13,0.0317,35.8,371.2,19,87.0,True,gear,normal,SUP-03,50.0,0.748,3.87,21.0,172.23,Petrov,1,2024-06-09,False,True,4,88.2
BATCH-5160,Line_A,evening,16,A,19.67,52.4,1278,268,7,0.0261,24.3,278.3,5,80.9,True,bracket,normal,SUP-04,35.5,0.921,4.37,11.1,123.88,Ivanov,6,2024-06-10,True,True,4,83.7
BATCH-5161,Line_A,evening,13,A,30.02,66.4,1250,485,21,0.0433,47.8,453.0,85,79.0,True,widget,low,SUP-04,60.6,1.233,4.43,22.7,413.84,Ivanov,2,2024-06-11,False,False,11,81.8
BATCH-5162,Line_A,day,2,A,21.21,51.9,1257,383,10,0.0261,25.7,368.0,68,88.8,True,widget,normal,SUP-02,77.5,0.999,3.92,16.6,98.64,Sidorov,2,2024-06-12,False,True,3,76.1
BATCH-5163,Line_C,day,4,B,17.63,58.0,1226,366,17,0.0464,50.6,359.5,14,79.8,True,gear,low,SUP-03,76.8,0.883,4.26,21.2,382.84,Ivanov,4,2024-06-13,False,False,8,82.3
BATCH-5164,Line_B,day,17,B,19.91,68.7,1471,388,15,0.0387,38.9,395.5,7,74.6,True,bracket,normal,SUP-03,65.7,0.924,4.34,15.9,188.87,Sidorov,5,2024-06-14,False,True,5,88.8
BATCH-5165,Line_A,day,19,A,21.85,62.6,1156,122,0,0.0,14.5,150.7,12,99.7,True,housing,normal,SUP-02,48.1,0.344,4.34,6.7,0.0,Kozlov,4,2024-06-15,False,True,0,95.6
BATCH-5166,Line_A,evening,15,A,23.64,48.0,1313,252,1,0.004,27.1,262.1,34,100.0,True,gear,high,SUP-03,59.9,0.342,4.56,10.6,8.9,Ivanov,3,2024-06-16,False,True,0,92.2
BATCH-5167,Line_A,day,1,B,23.66,48.9,1294,313,5,0.016,17.3,310.7,73,100.0,True,widget,normal,SUP-03,14.2,0.431,4.24,14.5,105.42,Sidorov,6,2024-06-17,False,True,2,86.4
BATCH-5168,Line_C,day,12,B,24.03,48.4,965,143,4,0.028,15.8,170.7,15,90.9,True,widget,normal,SUP-04,38.3,0.692,5.09,6.5,48.33,Petrov,6,2024-06-18,False,True,1,89.0
BATCH-5169,Line_A,evening,16,B,20.07,65.9,998,103,1,0.0097,7.8,137.5,73,96.8,True,gear,normal,SUP-04,20.6,0.647,4.7,5.9,14.67,Petrov,1,2024-06-19,False,True,0,94.5
BATCH-5170,Line_C,evening,12,A,23.02,82.5,1097,111,4,0.036,12.2,143.0,1,77.0,True,housing,urgent,SUP-03,0.3,0.478,4.18,4.2,37.83,Sidorov,1,2024-06-20,False,True,2,85.2
BATCH-5171,Line_C,evening,11,B,19.37,74.4,994,405,12,0.0296,46.3,373.9,66,88.8,True,widget,low,SUP-04,77.3,0.787,4.54,23.9,224.66,Sidorov,2,2024-06-21,False,True,6,83.5
BATCH-5172,Line_A,night,9,C,22.14,42.7,1057,345,18,0.0522,37.7,324.8,26,73.1,False,housing,low,SUP-01,69.1,1.325,4.55,14.5,371.17,Sidorov,5,2024-06-22,False,False,6,81.4
BATCH-5173,Line_B,day,4,A,19.25,75.0,1074,176,7,0.0398,29.1,198.9,86,82.9,True,widget,normal,SUP-04,41.1,1.122,4.99,7.6,82.52,Ivanov,6,2024-06-23,False,True,2,81.5
BATCH-5174,Line_C,night,5,A,20.43,70.5,1223,381,19,0.0499,44.4,364.0,43,71.9,True,gear,low,SUP-02,20.3,0.882,4.26,21.6,454.13,Sidorov,4,2024-06-24,False,False,6,76.9
BATCH-5175,Line_B,day,14,A,25.19,47.1,954,362,10,0.0276,27.2,336.0,25,85.3,True,gear,low,SUP-02,55.4,0.497,4.81,24.4,56.12,Petrov,4,2024-06-25,False,True,4,85.4
BATCH-5176,Line_A,evening,1,B,24.07,59.2,1363,417,10,0.024,52.5,404.8,22,88.8,True,gear,low,SUP-04,34.8,0.832,4.52,21.0,76.59,Petrov,1,2024-06-26,False,True,6,84.1
BATCH-5177,Line_C,night,1,A,26.93,74.0,1106,459,40,0.0871,85.3,421.6,74,57.7,False,bracket,normal,SUP-02,64.3,0.908,5.1,27.7,671.03,Kozlov,4,2024-06-27,False,False,14,73.1
BATCH-5178,Line_C,night,7,C,24.12,67.7,1294,447,33,0.0738,72.2,421.1,36,65.6,False,bracket,normal,SUP-04,80.0,1.46,5.02,22.1,627.93,Ivanov,1,2024-06-28,False,False,22,71.5
BATCH-5179,Line_B,evening,15,B,24.33,49.2,857,131,3,0.0229,9.2,147.7,32,85.7,True,gear,normal,SUP-02,27.9,0.686,4.58,8.3,30.04,Petrov,3,2024-06-29,False,True,1,87.1
BATCH-5180,Line_B,evening,13,B,16.72,66.1,1129,396,18,0.0455,42.8,377.2,66,70.5,True,housing,high,SUP-02,19.6,1.321,4.4,19.0,289.47,Petrov,1,2024-06-30,True,False,5,83.5
BATCH-5181,Line_A,day,11,B,24.59,41.0,820,226,4,0.0177,10.7,230.0,48,99.3,True,housing,normal,SUP-02,21.4,0.332,4.7,18.8,45.47,Ivanov,0,2024-07-01,False,True,1,88.4
BATCH-5182,Line_C,evening,10,A,22.53,59.5,1273,231,5,0.0216,20.1,251.4,60,100.0,True,widget,urgent,SUP-02,7.5,0.9,4.43,11.0,80.41,Kozlov,6,2024-07-02,False,True,1,84.1
BATCH-5183,Line_B,evening,2,B,23.88,73.5,1041,341,16,0.0469,37.1,328.8,40,78.8,True,housing,high,SUP-04,31.5,0.949,5.17,24.6,290.98,Petrov,6,2024-07-03,False,False,5,82.3
BATCH-5184,Line_A,night,6,A,25.14,62.7,1464,320,15,0.0469,37.1,328.2,6,69.9,True,housing,high,SUP-01,1.4,0.903,4.53,12.4,366.84,Sidorov,4,2024-07-04,False,False,8,79.9
BATCH-5185,Line_B,evening,1,B,19.04,55.7,1027,238,8,0.0336,45.7,238.2,1,79.3,True,bracket,high,SUP-03,9.2,0.562,4.34,17.9,112.91,Petrov,4,2024-07-05,True,True,2,80.4
BATCH-5186,Line_C,day,15,C,17.51,69.1,1195,499,39,0.0782,120.0,462.2,4,63.4,False,gear,normal,SUP-04,21.7,1.401,4.32,24.7,700.61,Kozlov,1,2024-07-06,False,False,27,82.1
BATCH-5187,Line_C,evening,15,B,19.86,70.7,980,128,4,0.0312,10.4,152.3,52,91.1,True,widget,normal,SUP-02,12.8,0.947,4.01,10.5,66.24,Sidorov,4,2024-07-07,False,True,2,84.9
BATCH-5188,Line_A,day,5,C,23.69,75.2,1234,93,5,0.0538,34.7,129.0,46,67.0,False,housing,normal,SUP-03,58.6,1.395,4.72,7.9,56.76,Petrov,5,2024-07-08,False,False,3,76.5
BATCH-5189,Line_A,day,5,A,24.07,71.0,1127,63,3,0.0476,6.4,105.1,67,75.6,True,gear,low,SUP-02,8.4,1.178,4.17,1.3,30.18,Kozlov,3,2024-07-09,False,False,2,74.2
BATCH-5190,Line_C,day,6,B,17.9,71.2,1059,416,26,0.0625,61.6,385.4,80,69.7,False,housing,normal,SUP-01,69.3,1.006,4.94,22.6,643.69,Kozlov,1,2024-07-10,False,False,14,75.0
BATCH-5191,Line_C,evening,17,B,19.06,68.0,943,232,8,0.0345,53.0,230.2,16,87.1,True,widget,low,SUP-03,17.7,0.644,3.98,12.7,73.1,Sidorov,2,2024-07-11,False,True,6,82.1
BATCH-5192,Line_B,day,9,B,19.83,63.6,878,246,6,0.0244,22.3,248.1,86,86.1,True,housing,low,SUP-04,8.7,0.47,4.55,14.3,124.83,Ivanov,5,2024-07-12,False,True,4,86.9
BATCH-5193,Line_B,day,15,A,20.93,62.2,884,342,1,0.0029,33.0,320.2,83,90.7,True,housing,urgent,SUP-03,0.8,0.824,4.96,24.5,7.93,Sidorov,1,2024-07-13,False,True,0,93.2
BATCH-5194,Line_B,day,8,A,17.91,58.0,1499,245,6,0.0245,27.5,277.8,55,90.9,True,housing,normal,SUP-02,57.2,0.589,3.64,9.4,126.52,Sidorov,6,2024-07-14,False,True,2,83.3
BATCH-5195,Line_B,night,13,B,19.73,48.8,1089,308,10,0.0325,27.6,302.1,48,89.4,True,bracket,normal,SUP-01,20.5,1.121,5.31,17.1,87.15,Petrov,5,2024-07-15,False,True,4,84.7
BATCH-5196,Line_A,evening,10,A,19.53,51.3,801,76,1,0.0132,12.7,101.3,16,93.0,True,housing,normal,SUP-04,40.8,0.737,4.33,6.8,24.34,Ivanov,6,2024-07-16,True,True,0,89.6
BATCH-5197,Line_A,day,5,B,22.26,58.9,1467,120,2,0.0167,14.4,164.7,16,93.7,True,bracket,normal,SUP-04,8.9,0.733,4.56,1.2,37.44,Sidorov,3,2024-07-17,True,True,1,80.8
BATCH-5198,Line_A,day,17,B,18.46,63.0,814,469,16,0.0341,48.1,416.0,2,80.6,True,housing,high,SUP-04,78.8,0.78,4.73,37.1,108.84,Kozlov,1,2024-07-18,False,True,7,87.3
BATCH-5199,Line_C,evening,14,C,21.65,75.9,1093,252,12,0.0476,30.6,256.3,58,72.0,True,housing,normal,SUP-02,10.0,1.108,4.79,13.1,226.36,Petrov,0,2024-07-19,False,False,6,84.6
BATCH-5200,Line_A,day,15,A,25.18,62.1,1302,125,3,0.024,13.3,158.3,39,93.1,True,housing,normal,SUP-03,33.0,0.737,4.61,6.8,51.22,Petrov,3,2024-07-20,False,True,2,82.4
BATCH-5201,Line_A,evening,18,C,18.09,70.5,1440,216,11,0.0509,70.7,242.1,18,76.5,False,gear,normal,SUP-02,68.1,0.935,4.9,10.2,129.26,Ivanov,2,2024-07-21,False,False,4,85.9
BATCH-5202,Line_B,day,4,A,21.38,72.2,1299,200,6,0.03,15.7,223.3,12,87.5,True,gear,normal,SUP-01,19.6,0.939,4.71,12.0,61.29,Sidorov,0,2024-07-22,False,True,3,76.0
BATCH-5203,Line_A,night,1,A,27.07,60.8,1125,173,12,0.0694,28.3,196.7,6,72.8,False,gear,normal,SUP-01,21.4,1.165,5.2,9.0,232.5,Kozlov,6,2024-07-23,False,False,5,71.3
BATCH-5204,Line_A,day,11,B,20.75,67.2,1482,182,6,0.033,18.6,222.0,58,78.2,True,gear,urgent,SUP-02,64.7,0.67,4.71,3.1,118.96,Kozlov,6,2024-07-24,False,True,4,80.4
BATCH-5205,Line_B,evening,6,A,20.28,58.6,828,378,11,0.0291,29.4,340.9,61,82.7,True,gear,normal,SUP-03,21.9,0.911,5.29,27.5,126.99,Petrov,2,2024-07-25,False,True,6,86.5
BATCH-5206,Line_A,day,8,A,25.49,75.9,1491,98,5,0.051,13.0,155.3,57,75.3,False,widget,normal,SUP-01,0.2,0.997,4.86,4.3,112.62,Ivanov,4,2024-07-26,False,False,1,75.3
BATCH-5207,Line_B,night,4,A,23.08,68.3,1395,189,7,0.037,17.6,220.0,10,78.7,True,bracket,normal,SUP-03,34.2,0.968,3.78,6.1,72.64,Petrov,2,2024-07-27,False,True,4,74.6
BATCH-5208,Line_C,night,7,B,27.31,51.3,1450,260,15,0.0577,30.7,266.2,4,75.1,False,housing,normal,SUP-02,1.0,0.986,5.54,11.1,95.96,Kozlov,3,2024-07-28,False,False,5,77.4
BATCH-5209,Line_A,evening,7,B,23.29,63.6,978,293,9,0.0307,21.2,280.9,10,83.7,True,bracket,urgent,SUP-04,72.8,0.565,4.27,17.2,152.98,Ivanov,4,2024-07-29,False,True,5,81.1
BATCH-5210,Line_C,evening,7,A,20.97,77.8,900,446,18,0.0404,49.1,407.2,67,74.8,True,housing,high,SUP-02,51.3,1.251,5.1,27.1,128.55,Ivanov,2,2024-07-30,False,False,10,75.9
BATCH-5211,Line_C,day,14,A,23.44,60.2,1264,465,15,0.0323,37.0,426.8,66,84.2,True,widget,normal,SUP-01,46.6,1.132,4.51,23.4,158.0,Kozlov,5,2024-07-31,True,True,7,87.1
BATCH-5212,Line_C,night,11,B,24.96,67.0,1161,183,9,0.0492,20.0,205.0,27,76.3,True,widget,normal,SUP-02,16.1,1.169,4.92,8.3,136.29,Sidorov,1,2024-08-01,False,False,5,74.7
BATCH-5213,Line_B,evening,9,A,25.06,68.0,1166,292,12,0.0411,24.2,299.8,5,84.1,True,housing,normal,SUP-04,56.0,0.833,4.22,14.2,128.73,Ivanov,4,2024-08-02,False,False,8,78.2
BATCH-5214,Line_B,day,2,B,20.35,50.7,1447,60,2,0.0333,8.5,116.6,29,85.3,True,gear,low,SUP-02,54.2,0.773,4.75,1.6,18.6,Ivanov,6,2024-08-03,True,True,1,77.6
BATCH-5215,Line_B,evening,11,C,22.12,66.7,1234,327,14,0.0428,29.6,323.3,73,80.9,True,bracket,normal,SUP-03,4.8,1.204,4.4,18.4,266.89,Petrov,5,2024-08-04,False,False,8,84.3
BATCH-5216,Line_B,evening,3,B,21.82,47.6,1018,118,0,0.0,0.2,138.8,13,100.0,True,bracket,high,SUP-04,70.5,0.429,5.13,6.9,0.0,Sidorov,0,2024-08-05,False,True,0,90.4
BATCH-5217,Line_A,night,6,C,26.11,56.6,1080,82,5,0.061,26.1,127.7,71,68.6,False,housing,normal,SUP-02,46.4,0.983,4.68,4.7,108.98,Kozlov,0,2024-08-06,True,False,2,79.1
BATCH-5218,Line_C,evening,8,B,18.92,71.4,893,352,19,0.054,52.7,325.9,42,69.4,False,bracket,low,SUP-03,63.4,1.414,4.87,22.8,315.87,Kozlov,4,2024-08-07,False,False,13,77.7
BATCH-5219,Line_B,evening,2,B,25.05,66.1,935,130,5,0.0385,13.1,151.0,13,82.2,True,widget,high,SUP-01,21.0,0.875,3.63,9.3,73.34,Petrov,6,2024-08-08,False,True,3,71.0
BATCH-5220,Line_C,evening,7,A,23.4,59.0,900,264,3,0.0114,8.3,263.0,84,92.6,True,housing,high,SUP-02,9.8,0.968,4.47,20.3,30.68,Petrov,5,2024-08-09,False,True,1,87.4
BATCH-5221,Line_A,day,5,A,18.05,64.9,1367,95,5,0.0526,22.6,147.7,47,82.1,False,gear,normal,SUP-02,56.2,0.746,4.66,5.5,104.21,Kozlov,6,2024-08-10,True,False,2,81.4
BATCH-5222,Line_A,day,16,B,25.62,62.1,1293,385,11,0.0286,28.4,368.3,60,92.4,True,housing,normal,SUP-03,63.5,0.89,4.59,19.2,98.31,Kozlov,1,2024-08-11,False,True,4,91.0
BATCH-5223,Line_B,day,17,A,28.7,63.7,1171,394,13,0.033,32.6,370.5,9,86.7,True,gear,normal,SUP-04,30.9,1.244,4.88,21.4,127.98,Ivanov,3,2024-08-12,False,True,4,88.3
BATCH-5224,Line_B,evening,0,C,25.01,69.1,1062,308,23,0.0747,52.4,302.0,34,64.5,False,housing,high,SUP-02,1.9,1.253,4.35,14.6,502.13,Sidorov,5,2024-08-13,False,False,11,66.5
BATCH-5225,Line_B,day,12,B,26.28,55.6,1268,426,10,0.0235,34.2,401.1,57,87.8,True,gear,low,SUP-02,65.5,0.682,4.52,18.4,198.24,Sidorov,4,2024-08-14,False,True,3,84.7
BATCH-5226,Line_A,day,12,C,22.26,62.1,1369,246,8,0.0325,56.4,254.7,58,77.4,True,widget,low,SUP-04,16.5,0.591,4.97,10.4,138.06,Ivanov,5,2024-08-15,False,True,4,90.3
BATCH-5227,Line_A,day,7,A,17.02,57.0,1417,133,5,0.0376,18.8,177.0,6,80.1,True,widget,normal,SUP-02,27.1,1.092,3.59,4.2,28.89,Kozlov,1,2024-08-16,False,True,1,76.7
BATCH-5228,Line_B,day,9,A,16.47,44.1,1183,118,6,0.0508,52.8,146.1,54,75.1,False,widget,low,SUP-03,50.3,0.854,4.74,3.9,45.27,Petrov,3,2024-08-17,False,False,2,75.9
BATCH-5229,Line_A,evening,15,B,22.77,52.6,1374,148,3,0.0203,8.3,195.2,85,91.0,True,gear,normal,SUP-03,8.0,0.684,4.37,2.7,45.0,Sidorov,3,2024-08-18,False,True,1,91.3
BATCH-5230,Line_C,day,7,A,20.22,76.7,1158,140,7,0.05,24.9,170.8,70,77.3,False,housing,high,SUP-01,5.8,0.753,4.14,4.6,139.49,Petrov,6,2024-08-19,False,False,3,77.2
BATCH-5231,Line_A,day,1,B,19.26,64.6,1132,195,8,0.041,17.0,208.1,19,84.1,True,widget,low,SUP-04,2.1,1.221,4.63,9.8,114.26,Sidorov,1,2024-08-20,False,False,4,73.8
BATCH-5232,Line_A,evening,7,B,21.81,48.3,1406,146,3,0.0205,16.6,183.6,82,86.3,True,gear,normal,SUP-02,73.3,0.936,4.99,6.1,16.04,Kozlov,2,2024-08-21,False,True,2,89.0
BATCH-5233,Line_A,day,5,C,23.85,46.8,1070,315,11,0.0349,38.5,296.1,61,79.1,True,bracket,urgent,SUP-03,24.9,0.843,4.92,16.1,95.54,Petrov,0,2024-08-22,False,True,8,81.9
BATCH-5234,Line_B,day,7,B,17.64,59.2,1077,116,4,0.0345,10.5,141.2,6,90.0,True,housing,normal,SUP-02,52.9,0.614,4.45,6.6,67.1,Petrov,1,2024-08-23,False,True,2,80.5
BATCH-5235,Line_B,day,4,A,20.65,76.8,1013,329,12,0.0365,27.4,319.0,12,85.6,True,widget,normal,SUP-04,79.1,1.172,4.85,18.6,226.61,Kozlov,6,2024-08-24,False,True,4,76.3
BATCH-5236,Line_B,night,2,A,28.53,61.7,1163,200,14,0.07,42.9,229.3,82,63.0,False,widget,normal,SUP-03,53.6,1.127,4.85,12.5,79.36,Kozlov,5,2024-08-25,False,False,4,78.1
BATCH-5237,Line_C,day,19,B,18.77,73.7,1181,359,14,0.039,32.3,349.9,19,80.0,True,bracket,low,SUP-01,42.0,0.669,4.47,17.9,82.13,Kozlov,1,2024-08-26,False,True,10,86.6
BATCH-5238,Line_A,evening,2,A,24.61,65.9,1262,280,12,0.0429,24.3,286.7,9,78.0,True,widget,low,SUP-01,41.7,0.577,4.22,14.7,122.71,Kozlov,4,2024-08-27,False,False,7,81.6
BATCH-5239,Line_B,night,14,A,22.55,66.5,1101,457,17,0.0372,48.8,418.5,41,81.6,True,housing,normal,SUP-04,30.2,0.743,4.25,25.3,113.39,Sidorov,4,2024-08-28,True,True,11,87.2
BATCH-5240,Line_A,evening,14,A,23.64,48.7,952,247,0,0.0,14.1,240.4,47,100.0,True,widget,normal,SUP-03,48.0,0.209,4.84,12.8,0.0,Kozlov,6,2024-08-29,False,True,0,90.4
BATCH-5241,Line_A,day,12,A,25.29,72.0,1407,182,7,0.0385,17.4,226.2,52,93.4,True,widget,normal,SUP-02,76.7,0.76,4.48,7.6,52.32,Kozlov,2,2024-08-30,False,True,2,81.8
BATCH-5242,Line_B,evening,18,B,24.22,58.9,1042,315,7,0.0222,46.0,303.2,59,89.8,True,housing,low,SUP-01,63.0,0.871,4.08,15.7,125.75,Ivanov,6,2024-08-31,False,True,3,93.9
BATCH-5243,Line_A,evening,0,A,24.73,71.0,1446,346,17,0.0491,37.8,359.7,89,78.8,True,bracket,high,SUP-01,33.9,0.916,3.83,14.1,349.26,Sidorov,2,2024-09-01,False,False,11,79.6
